name,popularity,followers,updated_genre
Van Morrison,75.0,2394388.0,'classic rock'
Lynyrd Skynyrd,74.0,3916531.0,'album rock'
Hollywood Undead,74.0,2136564.0,'alternative metal'
KHEA,80.0,3811583.0,'argentine hip hop'
Stormzy,77.0,2439124.0,'grime'
"Earth, Wind & Fire",77.0,3340639.0,'disco'
Of Monsters and Men,73.0,3318230.0,'folk-pop'
Axwell Λ Ingrosso,70.0,2360153.0,'dance pop'
Keith Urban,74.0,4563943.0,'australian country'
Bizarrap,85.0,4709526.0,'argentine hip hop'
A Day to Remember,73.0,2019855.0,'metalcore'
Rels B,83.0,3388342.0,'r&b en espanol'
Daryl Hall & John Oates,74.0,1729291.0,'album rock'
Måneskin,83.0,5569913.0,'indie rock italiano'
T‐Pain,81.0,3701502.0,'dance pop'
Andy Grammer,76.0,1037641.0,'dance pop'
Vicente Fernández,81.0,6206385.0,'mariachi'
Rage Against the Machine,74.0,4728856.0,'alternative metal'
Aya Nakamura,73.0,3288017.0,'basshall'
The Smiths,76.0,2982574.0,'madchester'
PnB Rock,76.0,3259329.0,'melodic rap'
Dermot Kennedy,77.0,1064224.0,'folk-pop'
Black Sabbath,75.0,5980638.0,'album rock'
Kodaline,74.0,2507794.0,'irish pop'
The Cranberries,76.0,2787082.0,'irish rock'
The White Stripes,75.0,2627292.0,'alternative rock'
Brytiago,78.0,4669224.0,'latin'
Scorpions,76.0,5373566.0,'album rock'
ODESZA,72.0,1356240.0,'chillwave'
Milky Chance,74.0,1601552.0,'german pop'
Tate McRae,84.0,2439670.0,'alt z'
Gimson,76.0,37.0,'francoton'
Prince,74.0,5875527.0,'funk'
Mustard,78.0,943095.0,'cali rap'
Rag’n’Bone Man,73.0,1545599.0,'neo soul'
Pedro Capó,73.0,1452389.0,'latin'
El Alfa,80.0,2072533.0,'dembow'
Van Halen,75.0,4564099.0,'album rock'
WALK THE MOON,73.0,1883947.0,'dance pop'
Los Ángeles Azules,79.0,5459766.0,'gruperas inmortales'
Aretha Franklin,74.0,2832784.0,'classic soul'
Shaggy,76.0,1681270.0,'pop rap'
Carrie Underwood,75.0,5044117.0,'contemporary country'
Enya,75.0,1690678.0,'celtic'
Sabaton,77.0,1581072.0,'metal'
gnash,70.0,1594367.0,'electropop'
Hardwell,69.0,3566607.0,'big room'
Don Diablo,72.0,1779073.0,'dance pop'
MEDUZA,79.0,509329.0,'edm'
Sublime,73.0,2159970.0,'alternative rock'
Damso,78.0,3436807.0,'belgian hip hop'
Rod Stewart,77.0,3391428.0,'mellow gold'
Samra,75.0,1123212.0,'german hip hop'
Kali Uchis,85.0,2641666.0,'colombian pop'
Nacho,71.0,4141412.0,'latin'
